"Name","Killed (2002-03)","Injured (2002-03)","Killed (2003-04)","Injured (2003-04)","Killed (2004-05)","Injured (2004-05)","Killed (2005-06)","Injured (2005-06)","Killed (2006-07)","Injured (2006-07)","Killed (2007-08)","Injured (2007-08)","Killed (2008-09)","Injured (2008-09)","Killed (2009-10)","Injured (2009-10)","Killed (2010-11)","Injured (2010-11)"
"Passengers","251","951","138","599","118","360","346","688","204","665","134","667","200","651","115","427","291","544"
"Passengers : In train accidents, failures of railway equipment and misc. accidents","157","658","84","279","35","86","168","483","38","227","9","245","52","257","67","253","235","358"
"Passengers : In unusual occurrences caused by movement of railway vehicles exclusive of train accidents etc.","94","293","54","320","83","274","178","205","166","430","125","405","146","367","46","162","54","179"
"Passengers : In unusual occurrences on railway premises not connected with the movement of railway vehicles","NA","NA","NA","NA","NA","NA","NA","NA","NA","8","NA","17","2","27","2","12","2","7"
"Railway servants","143","1181","77","1017","85","841","109","341","109","386","113","335","77","324","58","264","51","344"
"Railway servants : In train accidents, failures of railway equipment and misc. accidents","29","41","3","28","5","8","9","31","6","24","10","26","12","22","4","9","8","20"
"Railway servants : In unusual occurrences caused by movement of railway vehicles exclusive of train accidents etc.","84","244","50","151","64","129","77","99","90","183","91","172","60","191","46","141","26","161"
"Railway servants : In unusual occurrences on railway premises not connected with the movement of railway vehicles","30","896","24","838","16","704","23","211","13","179","12","137","5","111","8","114","17","163"
"Other persons (1)","1443","1844","2748","2217","2023","2984","3265","3438","3882","4024","4102","4387","4575","4721","3824","4027","3613","4246"
"Other persons (1) : In train accidents, failures of railway equipment and misc.accidents","232","283","155","159","181","209","138","113","166","156","172","135","145","165","167","135","138","85"
"In unusual occurrences caused by movement of railway vehicles exclusive of train accidents etc.","1210","1561","2593","2058","1842","2775","3127","3325","3713","3866","3926","4252","4428","4555","3654","3890","3471","4151"
"In unusual occurrences on railway premises not connected with the movement of  railway vehicles","1","NA","NA","NA","NA","NA","NA","NA","3","2","4","-","2","1","3","2","4","10"
